No,ID,Click,"Total Order","Total Commission","Sale Amount",Detail
0,Total,"722,033
","25,871
","412.64K PHP
","16.63M PHP
",
1,russel2312,"286,668","3,465","17,862.33 PHP","792,260.97 PHP",Conversion
2,rrvvmm0x,45,18,"8,620.08 PHP","504,531.47 PHP",Conversion
3,zyrellemacasaet,"3,114",287,"5,903.88 PHP","206,532.83 PHP",Conversion
4,chelle0904,"91,724",833,"4,016.63 PHP","169,149.82 PHP",Conversion
5,budolmarsie,"1,255",125,"3,904.68 PHP","104,536.96 PHP",Conversion
6,thiddengems,"1,520",158,"3,547.04 PHP","85,138.60 PHP",Conversion
7,alainramos,151,65,"3,202.68 PHP","126,483.93 PHP",Conversion
8,jescelgrace,36,54,"2,846.67 PHP","97,152.00 PHP",Conversion
9,michie11,"2,391",101,"2,750.70 PHP","66,700.35 PHP",Conversion
10,kennethh03,43,29,"2,620.73 PHP","80,682.60 PHP",Conversion
11,cathtian,51,35,"2,320.55 PHP","59,739.00 PHP",Conversion
12,tgosingtian,543,57,"2,191.49 PHP","63,688.45 PHP",Conversion
13,darknachi,520,15,"1,950.39 PHP","288,640.16 PHP",Conversion
14,deve2428,537,191,"1,762.18 PHP","84,076.61 PHP",Conversion
15,sychelle,77,26,"1,703.78 PHP","73,743.23 PHP",Conversion
16,yengzdiy,878,251,"1,663.51 PHP","65,275.15 PHP",Conversion
17,irenramirez,"1,387",187,"1,599.60 PHP","49,173.00 PHP",Conversion
18,roseannmercado16,24,31,"1,548.41 PHP","33,920.00 PHP",Conversion
19,grace778,41,10,"1,463.49 PHP","121,202.00 PHP",Conversion
20,renwaldbautista10,"1,204",79,"1,337.23 PHP","265,230.43 PHP",Conversion
21,ktb0503,25,18,"1,324.64 PHP","95,693.69 PHP",Conversion
22,rissylend,91,8,"1,292.62 PHP","69,005.00 PHP",Conversion
23,taraweasley10,145,44,"1,283.98 PHP","36,774.39 PHP",Conversion
24,frezzyopenda,0,1,"1,280.00 PHP","1,600.00 PHP",Conversion
25,abigail28,351,32,"1,181.58 PHP","22,395.15 PHP",Conversion
26,ryan16,"20,496",212,"1,178.23 PHP","37,551.47 PHP",Conversion
27,shangggky,32,6,"1,133.83 PHP","10,079.00 PHP",Conversion
28,jacielibunao,39,18,"1,091.49 PHP","40,683.00 PHP",Conversion
29,jhangcatacutan,96,19,"1,084.93 PHP","46,552.00 PHP",Conversion
30,cristilynp8,130,21,"1,052.88 PHP","40,518.00 PHP",Conversion
31,krissa,30,7,"1,046.63 PHP","19,311.99 PHP",Conversion
32,sonia1596,18,1,"1,042.10 PHP","12,950.00 PHP",Conversion
33,mcgelrai89,42,13,"988.65 PHP","4,330.00 PHP",Conversion
34,jammyllagas,412,117,"960.88 PHP","52,640.00 PHP",Conversion
35,mint30,20,6,"947.31 PHP","10,084.00 PHP",Conversion
36,bhebzy035,53,9,"942.03 PHP","27,174.00 PHP",Conversion
37,nikarose05,104,47,"932.94 PHP","32,769.07 PHP",Conversion
38,cherrylyn,"1,732",152,"884.28 PHP","14,402.12 PHP",Conversion
39,wpvseekers,502,48,"848.68 PHP","26,091.96 PHP",Conversion
40,sherann1,1,1,"839.33 PHP","26,911.00 PHP",Conversion
41,thehandbagtales,46,10,"837.12 PHP","22,662.28 PHP",Conversion
42,edlynsarmiento,54,41,"828.58 PHP","6,660.00 PHP",Conversion
43,shekienjoy,97,6,"799.73 PHP","40,872.00 PHP",Conversion
44,momshjoy,7,1,"796.70 PHP","25,490.00 PHP",Conversion
45,dalusongsarah,111,43,"785.51 PHP","16,350.00 PHP",Conversion
46,ranirezcha,25,10,"779.18 PHP","24,089.00 PHP",Conversion
